food_name,cluster_id
어묵김말이,1306
두부새우전,2776
알밥,3486
현미호두죽,1385
북어갈비,3415
토마토스파게티,261
표고버섯탕수,2724
갈릭치킨,338
양파링튀김,1189
참치삼각김밥,2510
뚝배기해물떡볶이,2301
스팸샌드위치,2587
참치깻잎주먹밥,1180
새우볶음밥고로케,473
스팸쌈밥,701
베이컨김치말이밥,2076
스팸오이식빵롤,3327
고구마치즈스틱,792
오징어볶음우동,994
호두가래떡구이,4401
카레새우삼각김밥,2925
블루베리쨈,3837
미니새우버거,885
고구마그라탕,727
밤식빵,3182
고구마보트,1211
감자스프,107
뚝배기라면,820
포테이토스킨,1248
오코노미야키,4042
야끼만두,4639
두부조림,2601
매운갈비찜,2262
어묵볶음,478
버팔로윙스,2817
칠리새우볶음,456
꼬마김밥,2045
홍시아이스크림,718
에그스팸샌드위치,2587
단호박사블레,4687
뮈슬리초코칩쿠키,3514
쌀빵,668
아몬드타르트,4380
팥파운드케이크,2253
홍시요거트,4268
닭꼬지,4361
팥양갱,2636
파네토네,1691
소고기크림치즈오븐스파게티,1315
브라우니,3250
아티잔브레드,1943
브라우니치즈케이크,3250
돼지고기김치찌개,1914
로스트치킨,944
오트밀쿠키,566
밤머핀,3507
크랜베리브리오슈,379
찜닭,1005
바나나프렌치토스트,11
베이컨그라탕,613
단호박해물치즈구이,435
파스타,1951
갸토쇼콜라,2910
몽블랑,4907
찹스테이크,3152
바질페스토,1808
포카치아,1366
흑미와플,1576
쏘야볶음,1731
메론빵,4479
튜나에그샌드위치,1543
푸딩,2480
오븐웨지감자,1587
쿠키,676
대추스콘,2222
사천짜장떡볶이,874
미니고구마,2272
바나나찹쌀떡,514
카레어묵전골,3433
모카머핀,1610
버섯포카치아,1366
어묵,3954
크림소스,4204
파니니,4342
시나몬비스코티,1200
버터케이크,2652
리코타치즈,431
아몬드치즈케잌,4380
레몬생크림케이크,3404
초콜릿케이크,3094
통밀쿠키,4384
시나몬큐브,3562
초코바나나머핀,4649
애호박사워크림케이크,4747
초코뮈슬리쿠키,1301
닭강정,3111
피낭시에,1874
소세지크로와상,2962
뮈슬리바,1423
그린티현미쉬폰,625
카레,2078
불닭퀘사디아,2144
계란빵,1133
초코칩머핀,2446
검은깨샤브레,4164
얼큰수제비,1047
오트밀빵,131
시나몬롤,3562
조기매운탕,619
오이무침,4193
식빵꽃,4385
쇼콜라케이크,1894
전자렌지딸기찹쌀떡,291
닭고기샌드위치,593
깻잎떡볶이,4148
연어또띠아말이,3052
김치볶음밥,198
바나나머핀,4114
탕수만두,296
굴무밥,1093
볶음밥,412
모밀국수,1903
토마토카프레제샐러드,2353
오징어청양고추조림,207
코다리조림,4352
카야쨈호떡,4151
초콜렛치즈머핀,1270
샐러드오므라이스,2997
두부치즈케익,2223
메밀전병,1298
깻잎순조림,2877
라볶이,4766
쇼콜라,4122
마파두부덮밥,4250
깡장,479
밤조림,2993
티라미수컵케익,3290
닭발,3980
크로켓,2110
초코칩케이크,277
복숭아찹쌀떡,3388
브런치,281
미역국,971
느타리버섯전,259
마로니에,3882
멀티그레인곡물빵,3883
약밥,4091
초코파운드케이크,1435
하트마카롱쿠키,4969
컵케익,2182
밥샌드위치,3135
견과류초콜릿,4603
와플,2181
들깨무국,1256
연근전,2082
참치김치전,3660
홈런볼,3291
해물볶음라면,1063
월병,1277
찹쌀경단,2971
냉이순두부찌개,4993
잡채,1311
생크림케이크,752
까망베르치즈케이크,3137
시래기들깨탕,2866
모카쿠키,4670
크림치즈딸기카나페,2449
오징어볶음,994
동태전,3037
꽁치김치찌개,1209
초코쉬폰케이크,2941
케이크,2444
갈치조림,4394
밤파운드케이크,1620
초콜렛,2768
유부초밥,604
코다리양념구이,3788
빵,3563
고구마크림치즈구이,792
초코슈,4177
부추된장국,126
초코칩쿠키,33
깐풍코다리,1369
묵은지감자탕,4058
아몬드초콜렛,3480
딸기케이크,645
부추제육볶음,4650
팽이버섯전,1067
하트쿠키,4654
모카초코칩머핀,1051
무화과컵케이크,3222
김치오믈렛,535
꽃게매운탕,262
시나몬메이플쿠키,1200
새우버거,2106
충무김밥,2112
단호박찜케익,4783
연어간장조림,1018
햄크림파스타,1303
로쉐,2244
찐빵,674
느타리버섯구이,259
딸기가나슈케이크,645
베이컨,613
떡볶이,1733
쌈밥,1182
순두부찌개,1470
식혜,3456
고구마야채튀김,2032
초콜릿파운드케이크,3094
부대찌개,2318
식빵,4385
카스테라,4037
닭개장,3980
초코바,4177
퍼지브라우니,3022
마늘바게트,3430
모카빵,4608
삼색상투과자,484
캬라멜크림,1257
옥수수식빵,1909
망고레어치즈케이크,176
양념꼬막,2872
치킨까스카레덮밥,3256
요거트스콘,1443
야채피클,909
홍합탕,65
오렌지탕수육,4086
떡갈비,2219
달래김무침,83
키위바나나잼,2202
멸치무침,2095
달걀찜,4538
꽃게된장찌개,690
오렌지닭봉구이,3365
햄야채키슈,4831
견과류파운드케익,2947
파운드케이크,2253
돼지고기야채볶음,1718
쌀가루치즈케이크,1880
연어계란샐러드,3744
해물김치볶음밥,3611
닭가슴살두부강정,2621
대구탕,1679
도토리묵전,1136
두부또띠아피자,4081
차돌박이된장찌개,3901
캬라멜와플,1257
사탕,2922
떡케익,1755
소고기연근전,240
꼬막볶음,342
호두초코칩케이크,2827
연두부샐러드,2139
잉글리시머핀,2254
단호박머핀,1565
카레돼지불고기,4712
컵계란빵,4846
딸기견과류샐러드,888
두부새우선,2776
캬라멜마블파운드케이크,2253
유자제육볶음,1600
제누아즈,2512
딸기생크림케이크,645
두부명란젓찌개,609
닭가슴살샐러드,847
샤벳,4901
롤케이크,3601
등갈비바베큐,4049
쵸콜릿,4559
열무김치,3073
모과차,332
오렌지마들렌,3365
아마씨식빵,4385
두부샌드그라탕,647
브로콜리새우볶음밥,4187
딸기버터케이크,645
김치스파게티,1045
콘브레드,3680
귤머핀,4347
굴비탕수육,1495
풋마늘오징어무침,393
버거,4860
